YEAR,STATE,NUMCOL,LBPERCOL,TOTALLB,PRICEPERLB,TOTALPRICE
1995,MICHIGAN,97000,92,8924000,0.7800313760645451,6961000
1995,MINNESOTA,165000,82,13530000,0.7,9471000
1995,MISSISSIPPI,16000,70,1120000,0.6803571428571429,762000
1995,MISSOURI,23000,67,1541000,0.7300454250486696,1125000
1995,MONTANA,106000,80,8480000,0.7200471698113208,6106000
1995,NEBRASKA,60000,73,4380000,0.7299086757990868,3197000
1995,NEVADA,10000,29,290000,0.9,261000
1995,NEW JERSEY,10000,34,340000,0.7705882352941177,262000
1995,NEW MEXICO,19000,65,1235000,0.8299595141700404,1025000
1995,NEW YORK,70000,75,5250000,0.7100952380952381,3728000
1995,NORTH CAROLINA,12000,52,624000,0.8397435897435898,524000
1995,NORTH DAKOTA,220000,108,23760000,0.6699915824915825,15919000
1995,OHIO,25000,62,1550000,0.74,1147000
1995,OKLAHOMA,4000,76,304000,0.930921052631579,283000
1995,OREGON,52000,52,2704000,0.7799556213017751,2109000
1995,PENNSYLVANIA,25000,43,1075000,0.7302325581395349,785000
1995,SOUTH CAROLINA,9000,90,810000,1.2604938271604937,1021000
1995,SOUTH DAKOTA,240000,85,20400000,0.71,14484000
1995,TENNESSEE,5000,53,265000,1.169811320754717,310000
1995,TEXAS,84000,106,8904000,0.6700359389038635,5966000
1995,UTAH,32000,33,1056000,0.6496212121212122,686000
1995,VERMONT,5000,67,335000,0.8597014925373134,288000
1995,VIRGINIA,9000,45,405000,0.6691358024691358,271000
1995,WASHINGTON,60000,59,3540000,0.5700564971751413,2018000
1995,WEST VIRGINIA,13000,41,533000,1.1801125703564728,629000
1995,WISCONSIN,73000,79,5767000,0.7000173400381481,4037000
1995,WYOMING,38000,36,1368000,0.7302631578947368,999000
1994,ALABAMA,18000,50,900000,0.52,468000
1994,ARIZONA,53000,59,3127000,0.5100735529261273,1595000
1994,ARKANSAS,55000,71,3905000,0.5101152368758003,1992000
1994,CALIFORNIA,400000,60,24000000,0.51,12240000
1994,COLORADO,45000,76,3420000,0.5599415204678363,1915000
1994,FLORIDA,230000,84,19320000,0.4699792960662526,9080000
1994,GEORGIA,80000,63,5040000,0.5700396825396825,2873000
1994,HAWAII,9000,100,900000,0.48,432000
1994,IDAHO,127000,59,7493000,0.5199519551581476,3896000
1994,ILLINOIS,13000,80,1040000,1.0403846153846155,1082000
1994,INDIANA,13000,54,702000,0.7094017094017094,498000
1994,IOWA,52000,66,3432000,0.6500582750582751,2231000
1994,KANSAS,19000,47,893000,0.7200447928331467,643000
1994,KENTUCKY,3000,54,162000,0.9814814814814815,159000
1994,LOUISIANA,40000,98,3920000,0.4599489795918367,1803000
1994,MAINE,8000,55,440000,0.6,264000
1994,MARYLAND,7000,36,252000,1.0793650793650793,272000
1994,MICHIGAN,90000,86,7740000,0.55,4257000
1994,MINNESOTA,170000,79,13430000,0.5200297840655249,6984000
1994,MISSISSIPPI,19000,53,1007000,0.47964250248262164,483000
1994,MISSOURI,25000,77,1925000,0.5298701298701298,1020000
1994,MONTANA,119000,105,12495000,0.5199679871948779,6497000
1994,NEBRASKA,72000,55,3960000,0.5601010101010101,2218000
1994,NEVADA,14000,54,756000,1.0793650793650793,816000
1994,NEW JERSEY,11000,33,363000,0.6308539944903582,229000
1994,NEW MEXICO,19000,64,1216000,0.47039473684210525,572000
1994,NEW YORK,68000,68,4624000,0.6299740484429066,2913000
1994,NORTH CAROLINA,15000,59,885000,0.9502824858757062,841000
1994,NORTH DAKOTA,235000,138,32430000,0.4799876657415973,15566000
1994,OHIO,27000,64,1728000,0.6400462962962963,1106000
1994,OKLAHOMA,5000,58,290000,0.9310344827586207,270000
1994,OREGON,50000,65,3250000,0.52,1690000
1994,PENNSYLVANIA,27000,47,1269000,0.5996847911741529,761000
1994,SOUTH CAROLINA,10000,100,1000000,0.82,820000
1994,SOUTH DAKOTA,260000,100,26000000,0.52,13520000
1994,TENNESSEE,6000,51,306000,0.9803921568627451,300000
1994,TEXAS,103000,74,7622000,0.5,3811000
1994,UTAH,43000,59,2537000,0.5301537248718959,1345000
1994,VERMONT,5000,77,385000,0.8701298701298701,335000
1994,VIRGINIA,11000,52,572000,0.6503496503496503,372000
1994,WASHINGTON,60000,62,3720000,0.5400537634408602,2009000
1994,WEST VIRGINIA,20000,44,880000,1.1795454545454545,1038000
1994,WISCONSIN,75000,71,5325000,0.6,3195000
1994,WYOMING,46000,69,3174000,0.5800252047889098,1841000
1993,ALABAMA,19000,45,855000,0.5894736842105263,504000
1993,ARIZONA,55000,77,4235000,0.5199527744982291,2202000
1993,ARKANSAS,50000,73,3650000,0.5,1825000
1993,CALIFORNIA,500000,90,45000000,0.5,22500000
1993,COLORADO,53000,73,3869000,0.5799948307056086,2244000
1993,FLORIDA,200000,113,22600000,0.5,11300000
1993,GEORGIA,80000,56,4480000,0.6100446428571429,2733000
1993,HAWAII,9000,177,1593000,0.519774011299435,828000
1993,IDAHO,133000,71,9443000,0.5199618765222916,4910000
1993,ILLINOIS,15000,48,720000,0.9597222222222223,691000
1993,INDIANA,12000,66,792000,0.6994949494949495,554000
1993,IOWA,56000,49,2744000,0.560131195335277,1537000
1993,KANSAS,23000,57,1311000,0.5598779557589626,734000
